# Copyright (c) 2022 Centre Tecnologic de Telecomunicacions de Catalunya (CTTC)
# SPDX-License-Identifier: GPL-2.0-only
# Dlat (m),Dlon (m),DAlt (m)
-1131.575006,13837.72554,41.75757576
549.0797588,14213.22766,50.33333333
